qber_total,qber_z,qber_x,gain_mu,sifted_rate,qber_dispersion,jump_energy_norm,spectral_entropy,autocorr_lag1,y1_lower,e1_upper,r_secure,gain_ratio_nu_mu,h_qber,distance_km,eve_intensity,label
0.019736842105263157,0.02109704641350211,0.0182648401826484,0.000670832639758586,0.00032577176116071907,1.404363105974181,1.5452126573364116,0.887620220310478,-0.10861121357340685,0.0019418712639566412,0.0,0.00023111052983054232,0.09108167886727363,0.13996042758157534,72.32319176616377,0.0,0
0.1609442060085837,0.16738197424892703,0.15450643776824036,0.0006732367337380845,0.0003326917475312273,1.6492367882283805,1.5027707471415184,0.9170544877065959,0.08627489148872726,0.001663236299832571,0.0,0.0,0.07932411474282765,0.6365636177564996,72.32319176616377,0.5355145212958307,1
0.03456221198156682,0.03587443946188341,0.03317535545023697,0.0006458111573878939,0.0003100465069760464,1.0445792111410175,1.1585303239824982,0.9005941387961294,-0.09487719107082411,0.00045081496899559975,0.0,0.0,0.0301983637367083,0.21677875628282936,72.32319176616377,0.6806612668455426,2
0.0354251012145749,0.03347280334728033,0.03725490196078431,0.0014597372472954868,0.000705587280003885,1.0792235485047392,1.1298250160813692,0.871745810849703,-0.0394844041269905,0.0036577450953792605,0.04315813881261989,0.00020711870571972976,0.08030107312061378,0.22090803470284723,55.57880176856259,0.0,0
0.2509469696969697,0.2633587786259542,0.2387218045112782,0.001493487153224925,0.0007542431534220569,0.8637960386584418,0.6967121527854683,0.8506194595356721,0.20034141410339001,0.0038277799816951756,0.26366049946146003,0.0,0.08188716033332537,0.8127755888448388,55.57880176856259,0.9646557411683715,1
0.04975609756097561,0.05390334572490706,0.045174537987679675,0.0014503086911965262,0.0007330209114775342,1.3968111000869063,1.6252076188527083,0.8270422268128368,-0.14654742914687258,0.0006026977341608521,0.0,0.0,0.022368638915071706,0.2853599724330548,55.57880176856259,0.7016594732897913,2
0.018281535648994516,0.017921146953405017,0.018656716417910446,0.0007736924561770734,0.0003907754141540712,1.0000588581492176,0.9423488978128453,0.8943090378023243,0.0701651982151915,0.001401805015788455,0.0,0.00014603259053789684,0.06895554959119785,0.13167999129888158,69.50396490068138,0.0,0
0.20553359683794467,0.20392156862745098,0.20717131474103587,0.0007294649542459004,0.0003615174014186343,1.0932915728526498,0.9599377464469092,0.9088067060470146,0.13083960867907357,0.0012647405152680417,0.08447021831239934,0.0,0.05890506251413962,0.732858178369008,69.50396490068138,0.7408268449402382,1
0.022263450834879406,0.019157088122605363,0.025179856115107913,0.0007625606314316486,0.00038521104062011117,1.192430998927316,1.3906834890932325,0.8244836071826377,-0.16031062586640912,0.001156063584032223,0.07044802733831658,3.695485255976179e-05,0.05286945252189521,0.15396720872381156,69.50396490068138,0.38701957450998226,2
0.027199074074074073,0.02403846153846154,0.030133928571428572,0.00250620116803557,0.00123522978276254,1.2278056789097223,0.9510238590888573,0.9137756531749215,0.2158141658506086,0.005952639553733187,0.013730141255806388,0.0005161327119996154,0.07668155449195874,0.18014472695811765,44.53310753049471,0.0,0
0.12915961646926113,0.1461794019933555,0.11149425287356322,0.0025331218710698783,0.0012654903007627203,1.1012946561903254,0.9971365179245306,0.8487664193872758,0.10767528263372905,0.004508294635699289,0.18523571181875034,0.0,0.06017853207295766,0.5551289173362992,44.53310753049471,0.4102407986255906,1
0.02304665542439573,0.021468926553672316,0.024608501118568233,0.0025675160300131553,0.0012705454846713223,1.2314352082120852,1.3412881700881722,0.8626813153510591,-0.0806703882505648,0.0015293528823946535,0.0,0.0,0.027360061121426773,0.15822082016161243,44.53310753049471,0.45000028762040833,2
0.02576601671309192,0.0205761316872428,0.031117397454031116,0.002058793315984112,0.0010244030498105282,0.9731762331897497,1.1206345923362826,0.8824751135342186,-0.14377389101978796,0.004699558610139145,0.05336305555644701,0.0002713080206869251,0.07411812424100515,0.1726924430766997,48.391322407049884,0.0,0
0.2356687898089172,0.21891891891891893,0.2540861812778603,0.0019975090055733146,0.001009109840856308,1.0081217288514674,0.9979282643041371,0.883430383114932,-0.010869414528859037,0.004952587752401118,0.22833013619342685,0.0,0.08265370570117088,0.7877631310489941,48.391322407049884,0.8973540142010269,1
0.028089887640449437,0.026462395543175487,0.029745042492917848,0.0020487793730977915,0.0010168915396623407,1.5824357841755399,1.7588684507554353,0.8772062207629017,-0.1145369680061165,0.0014526923695976012,0.0,0.0,0.03050303735850232,0.18472037559791357,48.391322407049884,0.6635648782109336,2
0.028567784721336566,0.02809415337889142,0.02904884318766067,0.011086599597642991,0.005599718335810274,1.2001205196689106,1.3834181995032893,0.871353641460437,-0.1394217075687572,0.024549265222976308,0.03607678875777804,0.0015633757999628278,0.0727762420772408,0.18715771857616947,13.471228319021467,0.0,0
